Name,Age,Education,Applied Job Role,Skills,Location,Status of Job Application,Experience
Ananya Goud,60,Diploma,Shopkeeper,"Driving, Technical Repair, Computer Skills",Chintur,Accepted,19
Naina Reddy,30,Undergraduate,Electrician,"Craftsmanship, Agriculture, Technical Repair",Maredumilli,Rejected,5
Aditya Prasad,58,Graduate,Weaver,"Agriculture, Teaching",Seethampeta,Pending,7
Aditi Rao,40,Undergraduate,Teacher,"Electrical Work, Retail, Craftsmanship",Paderu,Rejected,10
Vihaan Goud,36,Diploma,Mechanic,"Craftsmanship, Driving",Araku Valley,Accepted,11
Vivaan Prasad,49,High School,Electrician,"Electrical Work, Retail",Seethampeta,Accepted,8
Riya Rao,19,Undergraduate,Weaver,"Teaching, Retail, Driving",Araku Valley,Interview Scheduled,0
Aarav Prasad,57,Intermediate,Clerk,"Teaching, Agriculture, Electrical Work",Araku Valley,Rejected,12
Aditi Naidu,51,Undergraduate,Farmer,Craftsmanship,Seethampeta,Accepted,2
Aditi Naidu,58,Diploma,Driver,Computer Skills,Maredumilli,Under Review,18
Naina Reddy,34,High School,Electrician,Electrical Work,Paderu,Accepted,3
Vivaan Naidu,38,Intermediate,Driver,"Technical Repair, Computer Skills",Paderu,Accepted,3
Aarav Rao,54,Diploma,Shopkeeper,"Electrical Work, Agriculture, Technical Repair",Chintur,Pending,17
Aarav Reddy,18,Diploma,Weaver,"Computer Skills, Agriculture, Retail",Araku Valley,Under Review,5
Ananya Reddy,27,Undergraduate,Electrician,Craftsmanship,Chintur,Rejected,11
Siya Prasad,27,Undergraduate,Driver,"Technical Repair, Agriculture, Computer Skills",Araku Valley,Rejected,17
Aditya Rao,29,Graduate,Clerk,Retail,Maredumilli,Rejected,19
Ananya Goud,53,Intermediate,Mechanic,"Agriculture, Electrical Work",Chintur,Pending,15
Aditi Goud,40,Undergraduate,Weaver,Technical Repair,Araku Valley,Accepted,6
Ananya Rao,52,Graduate,Teacher,"Agriculture, Electrical Work",Rampachodavaram,Interview Scheduled,18
Riya Rao,45,High School,Electrician,Electrical Work,Seethampeta,Rejected,7
Aisha Goud,18,High School,Mechanic,Craftsmanship,Paderu,Accepted,12
Naina Prasad,54,Undergraduate,Electrician,"Electrical Work, Teaching",Chintur,Pending,12
Vihaan Goud,22,Undergraduate,Weaver,"Computer Skills, Agriculture",Chintur,Pending,1
Aisha Rao,29,Undergraduate,Weaver,"Technical Repair, Driving",Araku Valley,Pending,9
Vivaan Naidu,26,Diploma,Farmer,"Teaching, Agriculture",Maredumilli,Rejected,5
Aisha Goud,31,High School,Teacher,"Teaching, Technical Repair",Maredumilli,Under Review,18
Aarav Naidu,31,Diploma,Driver,"Technical Repair, Craftsmanship",Maredumilli,Rejected,17
Aditya Reddy,51,Intermediate,Clerk,"Technical Repair, Craftsmanship",Chintur,Accepted,15
Naina Rao,31,Diploma,Weaver,"Craftsmanship, Computer Skills",Araku Valley,Under Review,20
Naina Goud,46,Diploma,Weaver,Craftsmanship,Maredumilli,Under Review,18
Siya Goud,33,Diploma,Clerk,"Craftsmanship, Technical Repair",Araku Valley,Pending,1
Vivaan Naidu,23,Intermediate,Weaver,"Computer Skills, Technical Repair, Electrical Work",Araku Valley,Accepted,1
Naina Goud,36,Graduate,Clerk,"Technical Repair, Teaching",Paderu,Rejected,17
Siya Rao,35,Diploma,Teacher,"Agriculture, Retail",Chintur,Under Review,12
Vihaan Goud,43,Undergraduate,Farmer,Craftsmanship,Rampachodavaram,Pending,17
Vihaan Prasad,52,Diploma,Shopkeeper,"Agriculture, Teaching, Computer Skills",Araku Valley,Rejected,15
Vivaan Prasad,31,Graduate,Electrician,"Technical Repair, Retail, Electrical Work",Chintur,Interview Scheduled,2
Aarav Prasad,26,Intermediate,Weaver,"Technical Repair, Driving",Araku Valley,Pending,4
Ananya Prasad,57,Graduate,Shopkeeper,"Electrical Work, Agriculture, Computer Skills",Araku Valley,Accepted,2
Aisha Rao,29,Undergraduate,Shopkeeper,Technical Repair,Araku Valley,Rejected,20
Aditya Rao,30,Intermediate,Mechanic,"Electrical Work, Craftsmanship",Chintur,Rejected,0
Riya Goud,29,Intermediate,Weaver,"Computer Skills, Driving",Chintur,Interview Scheduled,16
Vihaan Goud,30,Diploma,Farmer,"Driving, Technical Repair, Retail",Chintur,Under Review,1
Ananya Goud,30,Graduate,Teacher,"Teaching, Retail",Chintur,Rejected,2
Aditi Goud,45,Intermediate,Clerk,Technical Repair,Maredumilli,Pending,10
Vivaan Goud,51,Graduate,Clerk,Agriculture,Rampachodavaram,Interview Scheduled,17
Aditi Prasad,18,Graduate,Clerk,"Computer Skills, Craftsmanship",Seethampeta,Under Review,0
Naina Prasad,41,High School,Farmer,Retail,Paderu,Interview Scheduled,12
Vivaan Rao,60,Intermediate,Mechanic,Electrical Work,Paderu,Rejected,3
Aarav Goud,32,Intermediate,Shopkeeper,"Teaching, Craftsmanship, Computer Skills",Seethampeta,Under Review,20
Siya Naidu,52,Graduate,Farmer,Driving,Maredumilli,Accepted,19
Vivaan Prasad,31,Intermediate,Electrician,"Driving, Electrical Work",Seethampeta,Under Review,14
Aarav Rao,52,Undergraduate,Shopkeeper,Craftsmanship,Seethampeta,Accepted,18
Aarav Goud,44,Diploma,Mechanic,"Retail, Agriculture",Chintur,Interview Scheduled,8
Vihaan Naidu,53,High School,Farmer,Driving,Araku Valley,Accepted,17
Riya Goud,50,Diploma,Clerk,"Driving, Technical Repair",Rampachodavaram,Under Review,4
Ananya Prasad,44,Intermediate,Weaver,"Technical Repair, Agriculture",Maredumilli,Under Review,13
Aditya Goud,29,Graduate,Teacher,"Craftsmanship, Technical Repair, Agriculture",Chintur,Accepted,15
Vivaan Reddy,37,Undergraduate,Farmer,"Craftsmanship, Retail, Teaching",Chintur,Interview Scheduled,14
Aditya Naidu,41,Undergraduate,Mechanic,Agriculture,Maredumilli,Under Review,4
Siya Naidu,33,High School,Clerk,Driving,Seethampeta,Interview Scheduled,1
Siya Goud,44,Undergraduate,Electrician,"Computer Skills, Teaching, Retail",Chintur,Interview Scheduled,12
Aditi Rao,46,Undergraduate,Weaver,Teaching,Rampachodavaram,Pending,2
Siya Prasad,30,High School,Weaver,Retail,Seethampeta,Interview Scheduled,0
Aarav Naidu,23,Intermediate,Teacher,"Computer Skills, Technical Repair",Paderu,Pending,16
Vivaan Goud,36,High School,Weaver,"Computer Skills, Technical Repair, Craftsmanship",Araku Valley,Interview Scheduled,19
Siya Goud,36,Graduate,Electrician,"Driving, Computer Skills",Maredumilli,Interview Scheduled,15
Naina Rao,37,Undergraduate,Electrician,Electrical Work,Rampachodavaram,Pending,10
Siya Naidu,57,Undergraduate,Mechanic,Teaching,Paderu,Rejected,9
Aditya Reddy,32,Diploma,Weaver,Agriculture,Chintur,Pending,11
Aarav Prasad,36,Intermediate,Shopkeeper,"Driving, Craftsmanship, Agriculture",Chintur,Pending,9
Vihaan Naidu,49,Graduate,Clerk,"Craftsmanship, Technical Repair",Chintur,Pending,10
Aditi Rao,57,Undergraduate,Weaver,"Driving, Retail",Seethampeta,Interview Scheduled,2
Riya Prasad,40,High School,Farmer,"Computer Skills, Electrical Work, Retail",Rampachodavaram,Pending,18
Ananya Naidu,47,Diploma,Electrician,Agriculture,Paderu,Rejected,13
Vihaan Prasad,18,Intermediate,Driver,"Technical Repair, Retail, Teaching",Maredumilli,Under Review,6
Vivaan Rao,53,Intermediate,Farmer,Electrical Work,Maredumilli,Pending,18
Aarav Naidu,57,Intermediate,Clerk,"Technical Repair, Driving, Agriculture",Maredumilli,Rejected,19
Ananya Naidu,53,Intermediate,Shopkeeper,"Agriculture, Driving, Technical Repair",Maredumilli,Under Review,7
Aisha Goud,45,Intermediate,Clerk,"Retail, Craftsmanship, Technical Repair",Araku Valley,Under Review,0
Aisha Reddy,55,High School,Farmer,"Craftsmanship, Driving",Maredumilli,Under Review,3
Riya Goud,24,Graduate,Shopkeeper,"Driving, Teaching",Seethampeta,Rejected,17
Vihaan Naidu,55,Intermediate,Mechanic,"Driving, Technical Repair",Seethampeta,Rejected,4
Vivaan Reddy,59,Graduate,Farmer,Driving,Paderu,Under Review,19
Siya Goud,40,Undergraduate,Weaver,Craftsmanship,Maredumilli,Pending,7
Aditi Goud,34,Intermediate,Driver,"Driving, Computer Skills",Paderu,Under Review,18
Vihaan Prasad,23,High School,Electrician,"Computer Skills, Teaching",Chintur,Interview Scheduled,4
Naina Naidu,46,Intermediate,Clerk,"Retail, Electrical Work",Maredumilli,Interview Scheduled,5
Siya Rao,59,Diploma,Electrician,"Driving, Computer Skills, Electrical Work",Paderu,Under Review,20
Ananya Rao,39,Graduate,Clerk,"Teaching, Agriculture, Driving",Chintur,Under Review,7
Aisha Reddy,54,Diploma,Electrician,"Computer Skills, Electrical Work",Rampachodavaram,Pending,5
Siya Prasad,40,High School,Clerk,Agriculture,Maredumilli,Interview Scheduled,8
Vivaan Goud,36,Diploma,Clerk,"Retail, Computer Skills, Driving",Rampachodavaram,Accepted,20
Aisha Prasad,32,Undergraduate,Driver,Electrical Work,Maredumilli,Accepted,18
Aditya Goud,40,Undergraduate,Weaver,Electrical Work,Chintur,Under Review,2
Riya Goud,54,Intermediate,Electrician,"Technical Repair, Craftsmanship, Agriculture",Rampachodavaram,Interview Scheduled,10
Aditi Reddy,21,Graduate,Farmer,"Retail, Teaching",Seethampeta,Rejected,12
Ananya Prasad,35,Diploma,Teacher,"Craftsmanship, Agriculture, Retail",Rampachodavaram,Pending,2
Aditya Reddy,51,High School,Shopkeeper,"Retail, Computer Skills, Technical Repair",Seethampeta,Accepted,15
Aarav Rao,28,Diploma,Farmer,Driving,Chintur,Interview Scheduled,9
Aditi Reddy,29,Undergraduate,Driver,"Driving, Computer Skills",Araku Valley,Under Review,5
Siya Rao,21,Diploma,Farmer,"Agriculture, Driving",Araku Valley,Pending,7
Aditya Reddy,50,Intermediate,Farmer,"Agriculture, Technical Repair, Retail",Maredumilli,Rejected,3
Aarav Reddy,50,High School,Clerk,Teaching,Araku Valley,Interview Scheduled,6
Aisha Reddy,36,Intermediate,Teacher,"Retail, Computer Skills",Rampachodavaram,Pending,5
Ananya Prasad,26,Diploma,Farmer,"Teaching, Retail, Craftsmanship",Seethampeta,Interview Scheduled,19
Ananya Goud,57,High School,Weaver,"Craftsmanship, Technical Repair",Maredumilli,Under Review,14
Riya Naidu,22,High School,Weaver,"Teaching, Craftsmanship, Driving",Maredumilli,Rejected,6
Aditi Goud,53,High School,Mechanic,Electrical Work,Maredumilli,Interview Scheduled,4
Aditi Rao,33,Graduate,Shopkeeper,"Agriculture, Electrical Work, Craftsmanship",Rampachodavaram,Under Review,17
Riya Goud,19,Graduate,Farmer,"Driving, Technical Repair",Seethampeta,Under Review,10
Riya Goud,36,Diploma,Driver,Electrical Work,Seethampeta,Rejected,18
Vivaan Naidu,27,Graduate,Farmer,"Teaching, Craftsmanship",Paderu,Accepted,13
Aarav Reddy,59,Diploma,Driver,Driving,Araku Valley,Accepted,20
Siya Prasad,23,Diploma,Teacher,Agriculture,Seethampeta,Rejected,17
Vihaan Prasad,26,High School,Shopkeeper,Teaching,Chintur,Under Review,16
Vihaan Rao,21,Graduate,Mechanic,Electrical Work,Paderu,Rejected,8
Vivaan Rao,37,Undergraduate,Clerk,"Teaching, Retail",Chintur,Accepted,15
Aarav Rao,31,Diploma,Clerk,"Electrical Work, Retail",Paderu,Under Review,0
Vihaan Naidu,34,Diploma,Clerk,"Technical Repair, Agriculture, Retail",Seethampeta,Interview Scheduled,5
Aisha Prasad,42,Graduate,Clerk,"Craftsmanship, Computer Skills",Araku Valley,Rejected,14
Riya Rao,28,Intermediate,Teacher,Craftsmanship,Paderu,Interview Scheduled,17
Vihaan Reddy,56,High School,Farmer,"Electrical Work, Driving",Paderu,Pending,14
Ananya Naidu,45,Diploma,Farmer,"Agriculture, Technical Repair",Chintur,Accepted,4
Aarav Reddy,47,Intermediate,Teacher,"Computer Skills, Electrical Work",Seethampeta,Pending,11
Ananya Goud,50,Intermediate,Teacher,Teaching,Maredumilli,Interview Scheduled,15
Naina Goud,35,Diploma,Shopkeeper,Craftsmanship,Maredumilli,Accepted,6
Riya Naidu,58,High School,Driver,"Retail, Computer Skills, Driving",Araku Valley,Pending,4
Aisha Goud,22,Graduate,Mechanic,"Technical Repair, Electrical Work",Seethampeta,Pending,19
Ananya Prasad,30,Graduate,Driver,Driving,Paderu,Pending,6
Siya Naidu,37,Undergraduate,Weaver,"Technical Repair, Driving, Computer Skills",Paderu,Accepted,18
Ananya Naidu,21,Diploma,Farmer,Driving,Chintur,Pending,20
Ananya Rao,34,Graduate,Farmer,Agriculture,Rampachodavaram,Under Review,14
Aditi Naidu,36,Intermediate,Electrician,"Driving, Computer Skills",Paderu,Accepted,2
Aditya Rao,34,High School,Weaver,Agriculture,Maredumilli,Rejected,1
Aditya Rao,34,High School,Weaver,Computer Skills,Paderu,Under Review,8
Siya Prasad,22,High School,Clerk,Computer Skills,Paderu,Rejected,8
Riya Rao,19,Undergraduate,Clerk,"Craftsmanship, Teaching",Seethampeta,Accepted,1
Siya Rao,52,Undergraduate,Mechanic,"Computer Skills, Teaching, Electrical Work",Araku Valley,Pending,12
Siya Reddy,55,Undergraduate,Shopkeeper,"Computer Skills, Craftsmanship",Seethampeta,Pending,14
Ananya Naidu,46,Undergraduate,Shopkeeper,"Electrical Work, Teaching",Paderu,Rejected,4
Aisha Naidu,31,Undergraduate,Mechanic,"Electrical Work, Retail, Computer Skills",Araku Valley,Rejected,19
Aarav Naidu,57,Graduate,Farmer,"Retail, Agriculture, Electrical Work",Chintur,Interview Scheduled,0
Siya Naidu,33,Diploma,Electrician,"Retail, Agriculture, Driving",Maredumilli,Interview Scheduled,6
Riya Goud,32,Diploma,Farmer,"Computer Skills, Technical Repair",Seethampeta,Pending,19
Naina Goud,35,Graduate,Weaver,"Driving, Teaching, Agriculture",Seethampeta,Under Review,2
Ananya Goud,55,Undergraduate,Teacher,"Electrical Work, Driving, Retail",Rampachodavaram,Under Review,0
Siya Prasad,39,Diploma,Electrician,Teaching,Maredumilli,Interview Scheduled,13
Ananya Goud,52,Undergraduate,Teacher,Driving,Araku Valley,Rejected,8
Vivaan Goud,26,Undergraduate,Mechanic,Electrical Work,Paderu,Rejected,11
Aisha Naidu,32,Intermediate,Farmer,"Agriculture, Electrical Work",Paderu,Pending,3
Aditi Reddy,21,Diploma,Shopkeeper,"Retail, Electrical Work",Chintur,Accepted,12
Riya Prasad,32,High School,Driver,Driving,Maredumilli,Interview Scheduled,18
Aisha Naidu,37,Diploma,Electrician,"Teaching, Craftsmanship",Paderu,Under Review,14
Vivaan Prasad,26,Graduate,Farmer,"Teaching, Agriculture, Driving",Paderu,Rejected,18
Siya Rao,47,Undergraduate,Weaver,"Agriculture, Electrical Work, Technical Repair",Rampachodavaram,Accepted,1
Naina Goud,49,Diploma,Teacher,"Technical Repair, Electrical Work, Computer Skills",Seethampeta,Under Review,15
Vihaan Prasad,49,Graduate,Driver,"Teaching, Electrical Work, Technical Repair",Araku Valley,Interview Scheduled,14
Siya Reddy,57,Undergraduate,Shopkeeper,"Technical Repair, Driving, Computer Skills",Rampachodavaram,Accepted,4
Aditi Prasad,54,Undergraduate,Shopkeeper,Retail,Seethampeta,Accepted,12
Vihaan Naidu,21,High School,Teacher,"Agriculture, Computer Skills",Paderu,Under Review,9
Aditya Goud,41,Undergraduate,Weaver,"Electrical Work, Technical Repair, Craftsmanship",Seethampeta,Pending,9
Siya Prasad,39,Graduate,Shopkeeper,Computer Skills,Rampachodavaram,Rejected,20
Aarav Prasad,26,Diploma,Farmer,"Computer Skills, Agriculture, Technical Repair",Seethampeta,Accepted,13
Aisha Goud,22,Diploma,Electrician,Agriculture,Seethampeta,Accepted,1
Naina Rao,60,Diploma,Electrician,Technical Repair,Chintur,Pending,11
Aditi Rao,51,Diploma,Farmer,Teaching,Rampachodavaram,Pending,10
Aarav Naidu,28,Graduate,Weaver,"Craftsmanship, Retail",Chintur,Rejected,10
Siya Goud,39,High School,Electrician,"Driving, Agriculture, Technical Repair",Chintur,Interview Scheduled,4
Vivaan Naidu,60,Undergraduate,Shopkeeper,"Computer Skills, Electrical Work",Seethampeta,Accepted,19
Siya Naidu,51,Diploma,Weaver,"Agriculture, Computer Skills, Driving",Seethampeta,Pending,7
Aditi Naidu,38,High School,Electrician,"Driving, Teaching, Retail",Maredumilli,Accepted,20
Aarav Goud,21,Undergraduate,Weaver,Electrical Work,Araku Valley,Rejected,20
Aarav Goud,23,Undergraduate,Electrician,Computer Skills,Seethampeta,Rejected,14
Riya Goud,29,High School,Teacher,Driving,Chintur,Under Review,5
Siya Prasad,51,High School,Weaver,"Technical Repair, Retail, Electrical Work",Araku Valley,Interview Scheduled,18
Vihaan Prasad,28,Undergraduate,Driver,"Computer Skills, Technical Repair, Agriculture",Chintur,Pending,4
Vivaan Prasad,40,Diploma,Teacher,"Electrical Work, Technical Repair",Chintur,Under Review,15
Aditi Prasad,19,Graduate,Teacher,"Technical Repair, Craftsmanship, Retail",Chintur,Accepted,12
Naina Prasad,22,Graduate,Shopkeeper,"Agriculture, Teaching, Retail",Seethampeta,Accepted,0
Aditi Naidu,22,High School,Farmer,"Agriculture, Technical Repair, Retail",Rampachodavaram,Accepted,19
Ananya Naidu,51,High School,Driver,"Computer Skills, Teaching",Araku Valley,Interview Scheduled,16
Naina Prasad,26,Graduate,Driver,"Craftsmanship, Driving, Retail",Araku Valley,Accepted,7
Ananya Goud,54,Intermediate,Shopkeeper,"Computer Skills, Craftsmanship",Rampachodavaram,Pending,19
Aisha Prasad,48,High School,Electrician,"Computer Skills, Craftsmanship, Teaching",Chintur,Interview Scheduled,14
Aisha Rao,55,High School,Shopkeeper,Electrical Work,Seethampeta,Accepted,18
Riya Rao,55,Diploma,Driver,"Craftsmanship, Teaching, Agriculture",Paderu,Interview Scheduled,3
Ananya Prasad,41,Intermediate,Teacher,Electrical Work,Seethampeta,Under Review,16
Aditya Prasad,38,High School,Electrician,"Technical Repair, Retail",Maredumilli,Accepted,20
Riya Reddy,35,Graduate,Teacher,Computer Skills,Araku Valley,Rejected,14
Riya Prasad,52,Intermediate,Teacher,Craftsmanship,Araku Valley,Under Review,19
Naina Goud,43,Intermediate,Mechanic,Craftsmanship,Araku Valley,Accepted,3
Siya Reddy,31,Graduate,Teacher,"Agriculture, Computer Skills, Retail",Chintur,Accepted,18
Vihaan Prasad,52,High School,Clerk,"Technical Repair, Craftsmanship",Seethampeta,Accepted,13
Vihaan Rao,57,Undergraduate,Teacher,"Teaching, Craftsmanship, Computer Skills",Seethampeta,Under Review,3
Vivaan Prasad,44,Graduate,Farmer,"Agriculture, Craftsmanship",Seethampeta,Interview Scheduled,11
Ananya Prasad,18,Diploma,Teacher,Technical Repair,Rampachodavaram,Rejected,6
Aisha Rao,25,Diploma,Farmer,"Retail, Driving, Teaching",Chintur,Accepted,0
Riya Reddy,49,Graduate,Electrician,"Technical Repair, Computer Skills",Maredumilli,Pending,13
Aarav Goud,45,Diploma,Farmer,Teaching,Araku Valley,Under Review,20
Aarav Reddy,29,High School,Teacher,"Driving, Agriculture, Retail",Araku Valley,Rejected,9
Aisha Reddy,49,Graduate,Clerk,"Computer Skills, Teaching",Maredumilli,Interview Scheduled,2
Vivaan Prasad,30,Undergraduate,Teacher,"Retail, Teaching, Computer Skills",Paderu,Accepted,9
Naina Naidu,21,Graduate,Shopkeeper,Teaching,Araku Valley,Rejected,20
Vihaan Prasad,38,High School,Shopkeeper,Retail,Chintur,Rejected,4
Riya Goud,29,Intermediate,Driver,"Agriculture, Technical Repair, Teaching",Paderu,Accepted,13
